T1,T,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P9,P17,P17,P5,P11,P12,P6,P13,P14,P17,P5,P16,P18,P22,P26,P27"
T2,T,"P1,P3,P4,P19,P20,P27"
T3,F,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P9,P17,P11,P17,P12,P6,P13,P14,P17,P16,P22,P26,P27"
T5,T,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P10,P18,P11,P12,P6,P13,P15,P18,P16,P18,P22,P26,P27"
T10,T,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P10,P18,P5,P11,P17,P12,P6,P13,P15,P18,P18,P5,P16,P18,P22,P25,P27"
T13,T,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P9,P17,P17,P5,P11,P17,P12,P6,P13,P14,P17,P5,P16,P22,P24,P27"
T28,F,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P10,P18,P5,P11,P12,P6,P13,P15,P18,P18,P5,P16,P22,P26,P27"
T504,F,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P10,P18,P11,P12,P6,P13,P15,P18,P18,P5,P16,P22,P26,P27"
T510,F,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P9,P17,P17,P5,P11,P12,P6,P13,P14,P17,P16,P22,P26,P27"
T543,F,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P9,P17,P17,P5,P11,P17,P12,P6,P13,P14,P17,P16,P22,P24,P27"
T610,F,"P1,P3,P4,P19,P20,P21,P7,P6,P8,P10,P18,P11,P12,P6,P13,P15,P18,P18,P5,P16,P18,P22,P25,P27"
T1579,T,"P1,P2"
